year,y_1,y_n_real_obs,y_n_real_EH,term_prem,eh_method,state_var_y1_mean,state_var_y1_lag_coeff,state_var_max_abs_eig,infl_ar1_mu,infl_ar1_phi,eh_spread
1979,0.05686150705334729,0.06188360956272444,0.0473016515132426,0.014581958049481841,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.00955985554010469
1980,0.046328391129175285,0.07490261786239147,0.04930820847734025,0.02559440938505122,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.002979817348164965
1981,0.10368943996002386,0.09118840334617684,0.07190601435392188,0.019282388992254956,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.03178342560610198
1982,0.09020060012374534,0.111034813026539,0.07684111722619948,0.03419369580033953,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.013359482897545863
1983,0.062085423103779534,0.07736788736450682,0.05494051162388856,0.02242737574061826,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.007144911479890971
1984,0.07801466453946854,0.08828624920553933,0.06279078003860969,0.025495469166929643,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.015223884500858847
1985,0.05227111403881514,0.08558954745242178,0.054130267944836455,0.03145927950758533,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0018591539060213158
1986,0.04318704307946519,0.06582293767581954,0.04304300164896709,0.022779936026852445,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.00014404143049809998
1987,0.04349887242720021,0.04798356386003747,0.03484381693004132,0.01313974692999615,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.008655055497158885
1988,0.04379330376958887,0.06066154811584148,0.04010508305853837,0.02055646505730311,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.003688220711050502
1989,0.05915448939143162,0.06452811756774267,0.04547605178240301,0.01905206578533966,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.013678437609028614
